Ê±¼ä,ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É)
2014-11-14,26.1926,6527429
2014-11-17,26.3903,5940564
2014-11-18,26.0048,8672630
2014-11-19,26.0641,8028430
2014-11-20,25.8269,6052155
2014-11-21,26.1432,6228677
2014-11-24,26.2321,10456844
2014-11-25,26.4693,13781963
2014-11-26,26.5484,9611328
2014-11-27,26.5781,11406906
2014-11-28,26.0443,14692343
2014-12-01,26.2025,13785432
2014-12-02,26.8054,17001975
2014-12-03,27.3589,22005256
2014-12-04,27.6752,16600987
2014-12-05,26.835,14733201
2014-12-08,27.3787,17531865
2014-12-09,27.7345,34488790
2014-12-10,28.7723,25538411
2014-12-11,28.3769,17693740
2014-12-12,28.881,14133561
2014-12-15,29.0886,10441171
2014-12-16,28.2484,14635958
2014-12-17,27.6851,12762745
2014-12-18,27.517,12398102
2014-12-19,28.0804,15181371
2014-12-22,27.1316,16580382
2014-12-23,27.1414,7649960
2014-12-24,27.2798,8653562
2014-12-25,27.9816,11813129
2014-12-26,27.8333,9216904
2014-12-29,27.2007,12359842
2014-12-30,26.1333,16744354
2014-12-31,26.5187,8671062
2015-01-05,27.9519,19252544
2015-01-06,28.3868,20290884
2015-01-07,28.0705,11904575
2015-01-08,30.8776,38777258
2015-01-09,30.3439,31346390
2015-01-12,30.7392,19280985
2015-01-13,31.016,14965119
2015-01-14,30.0177,12278197
2015-01-15,30.3537,10254246
2015-01-16,30.927,11532844
2015-01-19,28.6142,21424300
2015-01-20,29.4345,18196372
2015-01-21,29.8497,16014916
2015-01-22,29.5432,11351558
2015-01-23,30.245,16968626
2015-01-26,31.1741,16813866
2015-01-27,30.6107,18805007
2015-01-28,30.7392,14449189
2015-01-29,30.3241,8806241
2015-01-30,29.1182,16668766
2015-02-02,28.6537,10792801
2015-02-03,28.9601,11793377
2015-02-04,28.3572,10862953
2015-02-05,28.0508,10112390
2015-02-06,27.5763,10035346
2015-02-09,28.1298,10401650
2015-02-10,27.9915,8710853
2015-02-11,28.6932,12643338
2015-02-12,28.8118,7181738
2015-02-13,28.8613,11820838
2015-02-16,29.1084,12349564
2015-02-17,29.652,11603787
2015-02-25,29.2566,9179836
2015-02-26,29.4444,5869965
2015-02-27,29.4345,7981330
2015-03-02,32.38,12255191
2015-03-03,33.5561,79999230
2015-03-04,33.8032,27182515
2015-03-05,33.2596,21933597
2015-03-06,31.6288,28240856
2015-03-09,32.6864,15842990
2015-03-10,32.3898,10964327
2015-03-11,32.7061,10101763
2015-03-12,31.8265,13960562
2015-03-13,32.0044,11914033
2015-03-16,32.6962,16287252
2015-03-17,32.8544,16590407
2015-03-18,33.0323,23347237
2015-03-19,32.4788,17206706
2015-03-20,32.3404,18663737
2015-03-23,33.398,25793882
2015-03-24,33.1608,24504590
2015-03-25,34.0207,31666887
2015-03-26,33.7934,28873665
2015-03-27,33.8724,18920850
2015-03-30,34.4358,20340622
2015-03-31,34.8312,24664627
2015-04-01,35.3946,18522145
2015-04-02,35.78,22927014
2015-04-03,35.1969,20936683
2015-04-07,35.4143,19338320
2015-04-08,34.1492,29419019
2015-04-09,33.5858,26390379
2015-04-10,33.9317,20093567
2015-04-13,35.019,24975170
2015-04-14,34.1986,19043458
2015-04-15,32.973,23447440
2015-04-16,33.6056,23210732
2015-04-17,34.0998,27096655
2015-04-20,33.1707,26990008
2015-04-21,35.0684,28194273
2015-04-22,36.4225,31404961
